Targets,X_0,X_1,X_2,X_3,X_4,X_5
0,-20.388805,1.6562271,-24.832928,18.855682,0.0,0.0
0,-42.602753,36.6522,-36.34201,-39.752098,0.0,0.0
0,-31.594355,22.644676,-18.47461,18.71067,0.0,0.0
0,-42.43647,-30.336184,-18.358803,-9.825985,0.0,0.0
0,-38.14317,32.73954,-11.791557,16.049385,0.0,0.0
1,35.357178,9.3153,13.672535,48.26294,0.0,0.0
0,-22.55047,15.837563,-22.245806,35.732483,0.0,0.0
1,39.932823,-46.098614,42.68229,23.875717,0.0,0.0
1,21.788353,20.58374,41.564957,-6.6019783,0.0,0.0
0,-42.284924,-14.347446,-35.213734,3.3053322,0.0,0.0
0,-9.335373,-26.819246,-4.54607,47.370186,0.0,0.0
0,-3.9437714,1.5875053,-7.798027,7.8603516,0.0,0.0
1,44.550636,30.574646,17.748077,10.865528,0.0,0.0
0,11.789642,19.316658,-6.461174,-46.47044,0.0,0.0
0,-30.920595,42.679283,2.9886703,-40.503674,0.0,0.0
0,7.8863754,41.313583,-47.249985,-33.66197,0.0,0.0
0,-19.91328,2.006878,-11.6614685,-5.4945602,0.0,0.0
0,-48.744507,23.413956,43.88716,30.56192,0.0,0.0
0,-35.40662,-40.30517,20.762619,1.1229286,0.0,0.0
0,20.496544,-48.85757,-2.9811516,35.262184,0.0,0.0
0,23.195572,1.8258705,9.830952,-4.734005,0.0,0.0
0,-27.491676,-18.894964,-30.448986,41.530457,0.0,0.0
0,27.514336,17.48613,-38.342625,38.581093,0.0,0.0
0,15.677139,34.58973,-19.669502,10.599846,0.0,0.0
1,48.819122,33.632957,40.09984,-10.499237,0.0,0.0
0,38.093857,-39.16161,4.3244476,-28.152746,0.0,0.0
0,-11.660759,-12.804871,3.7409554,45.50698,0.0,0.0
0,24.754196,-0.21181107,35.49228,-25.62278,0.0,0.0
0,25.76857,-4.636635,-8.700542,5.853672,0.0,0.0
0,-38.304836,5.7778664,16.811905,42.746582,0.0,0.0
0,-15.567154,18.00138,49.9756,-21.448452,0.0,0.0
1,47.529617,-24.824602,22.03975,19.587502,0.0,0.0
0,13.966404,39.540154,-20.208221,13.140953,0.0,0.0
0,0.28060532,-37.60708,-12.1406975,-33.39115,0.0,0.0
0,22.107765,4.4947968,4.8982315,-15.168537,0.0,0.0
0,0.24042892,-15.552158,14.366806,48.558487,0.0,0.0
0,7.5735283,-22.145916,-30.541403,3.8219528,0.0,0.0
0,-37.092308,-37.58251,-32.54385,-16.982239,0.0,0.0
1,3.7008743,34.43058,19.366966,38.30594,0.0,0.0
0,-31.394869,4.219406,-44.44404,28.682861,0.0,0.0
1,10.420494,48.360733,-35.560608,40.09649,0.0,0.0
